12         0.9
43         0.85
89         0.8
64         0.92
34         0.96
19         1
32         0.84
44         0.82
90         0.8
25         1
32         0.83
44         0.95
90         0.98
65         1
13         0.9
44         0.8
90         0.83
65         0.92
35         0.99
20         1
33         0.83
45         0.82
91         0.8
26         1
33         0.83
45         0.95
91         0.98
66         1
14         0.9
45         0.81
91         0.8
66         0.92
36         0.96
21         1
34         0.84
46         0.82
92         0.96
27         1
34         0.83
46         0.95
92         0.98
67         1
15         0.9
46         0.85
92         0.8
67         0.92
37         0.96
22         1
35         0.84
47         0.82
93         0.8
28         1
35         0.83
47         0.95
93         0.98
68         1
16         0.9
47         0.85
93         0.8
68         0.92
38         0.96
23         1
36         0.84
48         0.82
94         0.8
29         1
36         0.83
48         0.95
94         0.98
69         1
17         0.9
48         0.85
94         0.8
69         0.92
39         0.96
24         1
37         0.84
49         0.82
95         0.8
30         1
37         0.83
49         0.95
95         0.98
70         1
18         0.9
49         0.85
95         0.8
70         0.92
40         0.96
25         1
38         0.84
50         0.82
96         0.8
31         1
38         0.83
50         0.95
96         0.98
71         1
19         0.9
50         0.85
